team_num,auto_high,auto_low,auto_gear,auto_base,high,high_acc,low,low_acc,gear,gearDrop,climbing,defense,composite,teamScore,teamScore_stanDev,strength
9831,0,0,0,0,0,0,0,0,1,0,0,0,13,15,22,3
836,0,0,1,1,0,0,0,0,2,0,1,0,44,70,14,3
5957,0,0,0,1,0,0,0,0,1,1,2,0,30,60,34,3
5950,0,0,0,1,0,0,0,0,7,1,2,0,87,132,147,3
5804,0,0,0,1,0,0,0,0,1,0,2,0,25,51,24,3
5546,0,0,1,1,0,0,0,0,2,0,2,0,48,82,23,3
540B,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,3
540,0,0,1,1,0,0,2,0,1,3,1,0,25,53,25,3
5279,0,0,1,1,0,0,0,0,2,0,2,0,56,101,0,3
418,0,0,0,1,0,0,0,0,0,0,2,0,18,55,0,3
401,0,0,0,0,0,0,0,0,2,0,2,0,36,71,15,3
384B,0,0,1,1,0,0,0,0,2,0,2,0,53,97,9,3
384,0,0,0,1,0,0,0,0,3,0,2,0,59,103,17,3
346B,3,0,0,1,0,1,0,0,1,0,2,0,37,60,26,3
346,4,0,0,1,3,3,0,0,0,0,2,0,43,55,24,3
339,0,0,1,1,0,0,0,0,2,0,1,0,42,69,25,3
3359,0,0,0,0,0,0,0,0,2,0,2,0,48,90,3,3
2890,0,0,0,0,0,0,0,0,1,0,1,0,26,50,22,3
2849,0,0,0,1,0,0,0,0,3,0,2,0,48,84,27,3
2377,0,0,1,1,0,0,0,0,2,2,2,0,52,101,0,3
2363,0,10,0,1,0,0,1,1,2,0,2,0,40,76,26,3
2028,0,0,0,1,0,0,0,0,0,2,2,1,24,61,15,3
1885,0,0,1,1,0,0,0,0,4,0,2,0,71,115,18,3
1793,0,0,0,1,0,0,0,0,0,0,2,0,18,55,0,3
1610,0,0,0,1,0,0,0,0,2,0,2,0,32,68,18,3
1599,0,0,0,1,0,0,0,1,2,0,2,0,35,72,18,3
1522,0,0,1,1,0,0,0,0,3,0,1,0,50,75,22,3
1389,0,0,0,1,3,0,0,0,1,0,2,0,42,62,41,3
1262,0,0,0,1,0,0,0,0,3,0,2,0,47,83,20,3
122,0,0,1,0,0,0,0,0,3,0,2,0,52,91,29,3
1137,0,0,0,0,0,0,0,0,3,0,2,0,47,81,12,3
1086,0,0,0,1,0,0,0,0,6,0,2,0,76,114,75,3
1080,0,0,0,1,0,0,0,0,2,1,2,0,36,74,17,3
0595,0,0,0,1,0,0,0,0,1,0,1,0,17,30,12,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
